Row Labels,Sum of GROC11,Sum of GROC16,Sum of SUPERC11,Sum of SUPERC16
NY,344,329,23,28
Allegany,12,14,0,0
Cattaraugus,22,19,1,2
Cayuga,14,11,2,2
Chemung,13,15,1,2
Chenango,12,8,1,1
Clinton,21,20,2,2
Columbia,19,20,0,1
Cortland,8,7,0,1
Delaware,13,12,0,0
Essex,21,19,1,1
Franklin,12,13,1,1
Fulton,10,13,0,0
Genesee,7,11,2,2
Greene,14,13,1,1
Hamilton,5,4,0,0
Lewis,3,3,1,1
Livingston,12,13,1,1
Madison,14,11,1,1
Montgomery,14,11,0,1
Orleans,10,8,1,1
Otsego,18,18,2,2
Schoharie,4,2,1,1
Schuyler,1,2,1,1
Seneca,9,7,0,1
Warren,25,27,3,2
Washington,10,10,0,0
Wyoming,11,8,0,0
Yates,10,10,0,0
Grand Total,344,329,23,28
Average: ,12,12,1,1
